exchange,symbol,time,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberOfTrades,TakerBuyBaseAssetVolume,TakerBuyQuoteAssetVolume
binance,BTCUSDT,1643814000000,37703.72000000,37824.17000000,37555.00000000,37589.75000000,858.30090000,1643814899999,32335657.87999950,19809,432.02963000,16280523.80770140
binance,BTCUSDT,1643814900000,37589.75000000,37706.49000000,37501.00000000,37619.97000000,831.29585000,1643815799999,31261214.99167800,17261,413.83671000,15567005.57588560
binance,BTCUSDT,1643815800000,37619.96000000,37665.39000000,37389.97000000,37566.97000000,1117.80510000,1643816699999,41918950.49316650,21047,501.82396000,18821150.44917280
binance,BTCUSDT,1643816700000,37566.98000000,37587.31000000,37361.49000000,37429.78000000,694.69107000,1643817599999,26013243.86663440,13940,283.32668000,10611239.48822200
binance,BTCUSDT,1643817600000,37429.78000000,37435.90000000,37129.14000000,37181.34000000,1706.48804000,1643818499999,63606671.13963050,26471,782.10614000,29149211.35172700
binance,BTCUSDT,1643818500000,37181.34000000,37332.52000000,37066.66000000,37239.02000000,805.72988000,1643819399999,29967189.22757200,17634,441.97667000,16440497.92611390
binance,BTCUSDT,1643819400000,37239.01000000,37275.78000000,37100.00000000,37212.98000000,394.99650000,1643820299999,14689423.17137050,10839,206.27878000,7671806.79414530
binance,BTCUSDT,1643820300000,37212.99000000,37385.83000000,37175.00000000,37336.71000000,590.03690000,1643821199999,22013922.09668060,12730,273.39973000,10197893.30052360
binance,BTCUSDT,1643821200000,37336.71000000,37550.00000000,37269.25000000,37447.43000000,530.12952000,1643822099999,19841794.68637050,13180,268.15367000,10038262.78137770
binance,BTCUSDT,1643822100000,37447.42000000,37480.78000000,37360.00000000,37403.41000000,255.23998000,1643822999999,9552240.66153090,7784,115.85657000,4336038.35763320
binance,BTCUSDT,1643823000000,37403.40000000,37418.62000000,37321.28000000,37334.00000000,237.78890000,1643823899999,8884975.50582540,7666,104.50433000,3904868.41676820
binance,BTCUSDT,1643823900000,37334.00000000,37478.67000000,37325.75000000,37469.99000000,285.54696000,1643824799999,10684048.40073580,8375,147.45184000,5516525.44525110
binance,BTCUSDT,1643824800000,37469.99000000,37530.98000000,37399.77000000,37434.39000000,215.02284000,1643825699999,8051597.31711940,8165,108.55202000,4065099.00401480
